year,imd,sex,cause,<1   ,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+  ,All Ages
1981,1,Male,01 Neoplasms,4,11,8,11,25,14,18,37,36,113,225,516,1044,1362,1784,1910,1485,793,275,80,9751
1981,1,Male,02 Diseases of the respiratory system,70,22,6,9,6,8,8,16,10,22,47,130,284,445,703,1121,1369,988,590,236,6090
1981,1,Male,03 Diabetes,0,0,0,0,3,1,1,0,5,4,5,5,25,30,35,37,37,20,8,6,222
1981,1,Male,04 Ischaemic heart disease,0,0,0,0,0,3,7,32,66,175,364,683,1153,1526,1856,2156,1764,968,380,160,11293
1981,1,Male,05 Stroke (cerebrovascular),2,0,1,0,2,4,5,8,15,27,41,109,188,282,506,704,703,454,202,94,3347
1981,1,Male,06 Other circulatory,4,5,1,2,5,9,6,9,22,24,54,89,205,231,438,555,541,440,244,147,3031
1981,1,Male,07 Intentional injuries,0,0,0,1,19,15,32,43,30,32,37,47,34,22,19,15,12,10,3,0,371
1981,1,Male,08 Unintentional injuries,15,35,36,35,93,83,62,52,39,38,42,37,63,54,71,54,91,51,30,11,992
1981,1,Male,09 All other causes,573,53,17,24,40,54,49,49,63,80,94,141,212,271,293,400,424,295,157,69,3358
1981,1,Male,10 Neonatal,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
1981,1,Female,01 Neoplasms,4,10,10,11,12,17,28,43,80,143,250,431,738,937,1091,1239,1236,900,501,201,7882
1981,1,Female,02 Diseases of the respiratory system,56,8,6,3,3,6,5,8,14,21,38,75,168,258,368,610,881,1252,1119,849,5748
1981,1,Female,03 Diabetes,0,0,0,1,0,2,0,1,0,5,2,7,17,25,43,76,86,62,31,15,373
1981,1,Female,04 Ischaemic heart disease,1,0,0,0,0,0,2,8,15,34,75,170,393,604,1031,1639,1910,1624,1108,483,9097
1981,1,Female,05 Stroke (cerebrovascular),1,0,0,0,1,9,7,7,13,25,42,82,141,189,417,728,981,1174,745,446,5008
1981,1,Female,06 Other circulatory,7,2,0,1,3,4,4,6,13,29,37,80,125,188,390,540,768,993,807,566,4563
1981,1,Female,07 Intentional injuries,3,0,1,2,5,9,13,12,10,19,10,21,25,22,27,27,4,6,3,0,219
1981,1,Female,08 Unintentional injuries,13,23,12,13,20,21,11,9,8,16,15,18,31,43,52,69,109,143,121,51,798
1981,1,Female,09 All other causes,419,48,24,22,28,29,30,50,37,38,69,97,150,193,295,445,578,614,433,294,3893
1981,1,Female,10 Neonatal,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
1981,2,Male,01 Neoplasms,4,8,9,8,10,10,18,31,30,88,164,411,801,1124,1522,1560,1245,735,279,73,8130
1981,2,Male,02 Diseases of the respiratory system,60,15,3,3,6,8,5,7,9,14,35,92,178,333,611,873,1168,938,533,259,5150
1981,2,Male,03 Diabetes,0,0,0,0,1,0,0,3,6,3,8,9,23,17,35,37,51,28,6,4,231
1981,2,Male,04 Ischaemic heart disease,0,0,0,0,0,1,10,31,65,133,279,576,951,1223,1648,1862,1560,904,401,157,9801
1981,2,Male,05 Stroke (cerebrovascular),0,0,0,2,3,0,6,5,20,20,35,80,140,182,393,598,624,425,249,91,2873
1981,2,Male,06 Other circulatory,6,1,1,3,2,8,7,16,9,21,41,71,146,226,315,472,506,403,222,128,2604
1981,2,Male,07 Intentional injuries,2,1,1,1,13,30,40,29,35,25,22,23,31,20,20,16,9,2,3,1,324
1981,2,Male,08 Unintentional injuries,11,23,25,29,96,73,51,46,45,40,37,34,39,34,35,52,52,41,38,8,809
1981,2,Male,09 All other causes,394,37,18,22,45,46,39,52,46,55,67,88,138,203,271,323,360,252,166,62,2684
1981,2,Male,10 Neonatal,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
1981,2,Female,01 Neoplasms,2,9,3,7,12,15,17,46,67,139,205,365,617,784,953,1039,1061,794,515,182,6832
1981,2,Female,02 Diseases of the respiratory system,40,7,2,5,5,8,5,3,7,19,21,59,112,174,308,454,759,1039,1027,835,4889
1981,2,Female,03 Diabetes,0,0,0,1,1,0,0,2,0,2,5,9,4,25,35,45,82,67,43,7,328
1981,2,Female,04 Ischaemic heart disease,0,0,1,0,0,0,0,5,17,25,42,123,273,460,836,1206,1528,1383,940,492,7331
1981,2,Female,05 Stroke (cerebrovascular),0,1,0,1,1,3,7,8,12,19,41,62,118,180,355,576,909,1034,769,500,4596
1981,2,Female,06 Other circulatory,1,1,1,0,2,0,7,9,5,19,35,74,87,163,270,429,638,871,765,584,3961
1981,2,Female,07 Intentional injuries,2,1,1,0,3,5,10,8,9,11,12,14,19,18,14,22,14,5,2,0,170
1981,2,Female,08 Unintentional injuries,11,16,12,13,12,15,8,10,6,12,10,16,19,20,33,59,73,96,73,58,572
1981,2,Female,09 All other causes,272,34,13,17,30,14,36,29,29,35,54,96,103,172,238,328,512,592,471,281,3356
1981,2,Female,10 Neonatal,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
