year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2001,1,Male,37667,157457,199783,199234,179290,165475,176998,196893,182196,155734,136863,136797,112861,107539,95721,81712,63608,36975,15622,5570,2443995
2001,1,Female,36682,150337,190891,192002,180743,187181,187058,202800,188460,160483,135864,134046,112750,110133,104201,101941,93453,68657,40188,21658,2599528
2001,2,Male,33329,140864,180138,181469,166633,168369,188940,209470,193185,161083,135745,136224,111637,101925,90977,80279,63632,38406,16505,5973,2404783
2001,2,Female,32133,134863,172573,173803,163856,181700,194793,210324,195424,164197,137333,136931,115226,107698,101897,101404,94006,69460,41552,22524,2551697
2001,3,Male,30307,126479,164525,167283,157213,172301,195100,211685,196303,164651,141215,143954,118413,104934,93566,81905,65281,39374,17747,6582,2398818
2001,3,Female,28764,121203,156353,159902,153471,180472,194891,207427,194888,164390,141812,145181,121987,110274,103922,102768,95322,70619,43071,23943,2520660
2001,4,Male,28000,117194,153690,159661,152650,170206,189795,207871,196919,168312,147807,155590,130626,112548,99171,86249,68525,41819,19686,7253,2413572
2001,4,Female,26920,112023,146150,151484,147134,172726,186353,202439,193953,167737,149122,157934,133298,115980,109258,106269,98099,72766,45685,25389,2520719
2001,5,Male,26758,112545,149061,156196,148618,153505,175114,197251,195002,172041,153029,166356,141339,119519,105838,91172,71148,43875,20522,7818,2406707
2001,5,Female,25209,106963,142446,148586,140365,150951,172422,195053,194236,171793,156905,168907,144886,124489,114902,109435,100396,75338,47778,26689,2517749
2001,6,Male,26036,110998,146788,154176,145270,145189,167548,193588,196792,175443,158882,174782,149625,123870,109277,94013,72589,44432,21701,8267,2419266
2001,6,Female,24977,105200,140072,146593,136281,138670,165576,191460,197140,175892,161297,178609,152761,127732,117590,110931,99957,74132,48562,27233,2520665
2001,7,Male,25701,109541,146540,155037,150139,139617,156888,185350,195607,178268,164166,182484,155571,126802,111527,94915,72744,44303,21630,8159,2424989
2001,7,Female,24468,103999,138959,147258,139231,132475,154202,186736,198540,180323,167526,186961,158469,130890,118770,110140,98129,73220,47917,26864,2525077
2001,8,Male,25360,108842,145927,154283,148648,135283,151254,182344,195220,180169,165096,184790,157492,126021,110074,92838,70588,42606,21055,7925,2405815
